step,real_x,observed_x,estimated_x,p_variance,kalman_gain
54,-3.279708114140236,-3.42859994567257,-3.793980206186121,0.8827822185374544,0.22069555463436355
55,-4.239093721789756,-4.29212147268819,-3.9039177692830527,0.8827822185374011,0.2206955546343503
56,-4.208978616819243,0.7175056081513294,-2.883990173800057,0.8827822185373688,0.2206955546343422
57,-4.3051590992098046,-3.70206441454258,-3.0645355220927923,0.8827822185373491,0.2206955546343373
58,-4.322514984062426,-6.659871059301491,-3.8580100925735983,0.8827822185373371,0.2206955546343343
59,-3.751103576804916,-2.247237511431368,-3.5025197443886387,0.8827822185373299,0.22069555463433246
60,-3.3555876032833925,-5.17436251287287,-3.871488011440662,0.8827822185373253,0.22069555463433138
61,-2.654190447815343,-5.457892573399905,-4.22160044611669,0.8827822185373227,0.22069555463433066
62,-2.360761900915208,2.020149350704749,-2.8440740128184636,0.8827822185373211,0.2206955546343303
63,-2.856030063480552,-3.988625522686096,-3.0966714430962607,0.8827822185373202,0.22069555463433002
64,-2.806204380936731,-3.81315568916913,-3.2547963311700725,0.8827822185373196,0.22069555463432988
65,-3.5815360964697973,-3.444410146857743,-3.2966432573895945,0.8827822185373192,0.2206955546343298
66,-4.11268795333285,-3.165503092062487,-3.267701205867891,0.8827822185373189,0.22069555463432974
67,-4.572400070449752,-1.472531260414673,-2.8715151790932136,0.8827822185373189,0.22069555463432972
68,-4.96402671661787,-5.608149749029222,-3.475478263336721,0.8827822185373189,0.22069555463432972
69,-4.557268107933036,-7.0189967408009455,-4.257517039077683,0.8827822185373189,0.22069555463432972
70,-4.443538140630971,-1.8292526320661149,-3.7216098789734633,0.8827822185373189,0.22069555463432972
71,-5.247279757911585,-4.8780120408469765,-3.976822695468476,0.8827822185373189,0.22069555463432972
72,-5.1173383607873735,-3.5536926172327528,-3.883439768169776,0.8827822185373189,0.22069555463432972
73,-5.7358137162264144,-8.376726942394967,-4.875088273216725,0.8827822185373189,0.22069555463432972
74,-5.474842933417966,-4.880873586951593,-4.876365066240175,0.8827822185373189,0.22069555463432972
75,-5.349596508245027,-4.656700089251076,-4.827885982309828,0.8827822185373189,0.22069555463432972
76,-5.689608869034273,-5.2251014747122655,-4.915549675714932,0.8827822185373189,0.22069555463432972
77,-5.543072632384932,-6.971775468437668,-5.369349567493291,0.8827822185373189,0.22069555463432972
78,-4.610185376812554,-3.662519534988979,-4.992659766803221,0.8827822185373189,0.22069555463432972
79,-5.205837125413878,-3.8927299081462174,-4.749910136588054,0.8827822185373189,0.22069555463432972
80,-5.693177960527539,-4.1190087530426345,-4.610673005826931,0.8827822185373189,0.22069555463432972
81,-5.113880171023837,-6.755244807727258,-5.083970469100468,0.8827822185373189,0.22069555463432972
82,-4.632192106401676,-3.806630252528679,-4.802067161547422,0.8827822185373189,0.22069555463432972
83,-4.221162026404431,-0.4275760610965364,-3.836636421890474,0.8827822185373189,0.22069555463432972
84,-4.343856084405866,-5.851328413120845,-4.281269988312403,0.8827822185373189,0.22069555463432972
85,-4.788613299218627,-6.420233869149504,-4.753329808336545,0.8827822185373189,0.22069555463432972
86,-4.827164153925679,-4.144860204292391,-4.61904327159389,0.8827822185373189,0.22069555463432972
87,-4.688818754260669,-3.034452256188622,-4.269331078580449,0.8827822185373189,0.22069555463432972
88,-4.682317808321716,-1.775249654007082,-3.718898395281051,0.8827822185373189,0.22069555463432972
89,-4.814646224940693,0.6256921082385443,-2.760066584447752,0.8827822185373189,0.22069555463432972
90,-4.50181255105819,-6.216127663890756,-3.5228039012255463,0.8827822185373189,0.22069555463432972
91,-5.037258800088747,-4.0723139696023765,-3.6440783305431195,0.8827822185373189,0.22069555463432972
92,-5.148990192751672,-3.720989204567488,-3.6610522185433387,0.8827822185373189,0.22069555463432972
93,-4.9123713804649,-5.058029205778645,-3.96935882955263,0.8827822185373189,0.22069555463432972
94,-5.335768239499102,-8.365462688870831,-4.9395594090149775,0.8827822185373189,0.22069555463432972
95,-5.559025715532613,-3.846228126885668,-4.698266055306386,0.8827822185373189,0.22069555463432972
96,-5.451978843467511,-7.9434564008914865,-5.414465138519263,0.8827822185373189,0.22069555463432972
97,-5.365388380541919,-4.594753621084245,-5.233558450538793,0.8827822185373189,0.22069555463432972
98,-5.807317098642486,-5.4998668867514295,-5.292331538572542,0.8827822185373189,0.22069555463432972
99,-5.7782127394194855,-8.064153335080732,-5.9040602873004415,0.8827822185373189,0.22069555463432972
